2024-11-07 23:31:25.081 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-07 23:31:25.347 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-07 23:31:28.091 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-07 23:33:10.197 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-07 23:33:10.449 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-07 23:33:13.004 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-07 23:34:46.087 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-07 23:34:46.344 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-07 23:47:30.632 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-07 23:48:35.679 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-07 23:48:35.944 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-07 23:48:38.485 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-07 23:55:13.862 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-07 23:55:14.124 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-07 23:55:16.738 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-07 23:56:57.710 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-07 23:56:57.964 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-07 23:57:00.541 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-07 23:57:13.346 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-07 23:57:13.610 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-07 23:57:16.199 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-08 00:02:45.106 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-08 00:02:45.368 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-08 00:02:48.154 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-08 00:03:32.134 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-08 00:03:32.388 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-08 00:03:35.101 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-08 00:06:17.367 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-08 00:06:17.633 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 15:27:18.187 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 15:37:40.617 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 15:37:40.875 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 15:37:43.222 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 15:38:59.286 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 15:38:59.550 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 15:39:02.093 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 15:39:38.735 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 15:39:39.002 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 15:39:42.215 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 15:42:55.755 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 15:42:56.009 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 15:42:58.801 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 15:44:30.241 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 15:44:30.508 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 15:44:33.267 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 15:45:23.939 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 15:45:24.205 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
